Deutsch,English
Wo ist das Klo?,Where's the toilet?
Das ist eine heikle Frage.,That's a tricky question.
"Denkst du, dass Liebe nur ein Konzept ist?",Do you think love is just a concept?
Sie ist dünn wie ein Skelett.,It's as thin as a skeleton.
Ich habe meine Handschuhe in der Bibliothek vergessen.,I left my gloves in the library.
Sie benutzen dieses Buch im Englischunterricht.,They use this book in English class.
Sport wirkt sich positiv auf Körper und Geist aus.,Sports have a positive effect on the body and mind.
"Als ich auf dem Gymnasium war, habe ich davon geträumt, ein Model zu werden.","When I was in high school, I dreamed of becoming a model."
Ich gehe einmal im Monat zum Friseur.,I go to the hairdresser once a month.
In diesem Land gibt es ein Problem mit der Arbeitslosigkeit.,There is a problem with unemployment in this country.
"Ich mag die Art, wie du mich behandelst.",I like the way you treat me.
Sie hat ein sternförmiges Tattoo.,She has a star-shaped tattoo.
"Hast du allen gesagt, wo das Meeting stattfinden wird?",Did you tell everyone where the meeting will be?
Es ist ein magischer Besen. Du kannst ihn zum Fliegen verwenden.,It's a magic broom. You can use it to fly.
Das nächste Spiel wird zwischen Brasilien und Korea stattfinden.,The next match will be between Brazil and Korea.
Blei ist ein gefährliches Metall.,Lead is a dangerous metal.
"Gib mir das Buch zurück, das ich dir geliehen habe.",Give me back the book I lent you.
Alle Bauern haben auf dem Feld gearbeitet.,All the farmers worked in the field.
Bei den letzten Wahlen wurde er in den Senat gewählt.,He was elected to the Senate in the last elections.
"Es gab keine einheimischen Tomaten, deswegen habe ich ein paar spanische gekauft.","There were no local tomatoes, so I bought some Spanish ones."
Er hat auf den Boden gespuckt. Wie unhöflich!,He spat on the ground. How rude!
Er hat meinen Arm sehr stark verdreht.,He twisted my arm very hard.
Jazz ist meine Lieblingsmusikrichtung.,Jazz is my favorite kind of music.
"Wenn es dir schmeckt, kann ich dir das Rezept geben.","If you like it, I can give you the recipe."
Er ist sehr schnell auf die Leiter geklettert.,He climbed the ladder very quickly.
Was ist die Höhe von diesem Berg?,What is the height of this mountain?
Der Hahn ist das zehnte chinesische Sternzeichen.,The rooster is the tenth Chinese zodiac sign.
"Ich brauche ein Hotel, das Haustiere erlaubt.",I need a hotel that allows pets.
Mein Büro ist im fünften Stock.,My office is on the fifth floor.
Dieses Tier klettert schnell auf Bäume.,This animal climbs trees quickly.
"Ja, dieses Hemd besteht aus Baumwolle.","Yes, this shirt is made of cotton."
Wir haben den Weihnachtsbaum zusammen geschmückt.,We decorated the Christmas tree together.
Sie singt verdammt gut!,She sings damn good!
"Du wirst wissen, dass dein Englisch gut ist, wenn Leute aufhören, dir Komplimente zu machen.",You'll know your English is good when people stop complimenting you.
Sie haben für die Freiheit ihres Landes gekämpft.,You fought for the freedom of your country.
Sie wird die nächste Wahl wahrscheinlich gewinnen.,She will probably win the next election.
Tritt zurück!,Step back!
War das eine Beleidigung?,Was that an insult?
"Als ich auf dem Gymnasium war, habe ich davon geträumt, ein Model zu werden.","When I was in high school, I dreamed of being a model."
Ich habe die Anordnung meiner Wohnzimmermödel geändert.,I changed the arrangement of my living room furniture.
Diese Uhr hat eine einjährige Garantie.,This watch has a one-year warranty.
Er hat seinen Feind besiegt.,He has defeated his enemy.
Ich musste meinen Termin verschieben.,I had to postpone my appointment.
War es wirklich so schlimm?,Was it really that bad?
Ihre Situation war aussichtslos.,Your situation was hopeless.
Sie haben alle Produkte pünktlich geliefert.,You delivered all the products on time.
Das war einfach göttlich!,That was simply divine!
Der Pfeil hat sein Ziel erreicht.,The arrow reached its target.
"Als sie klein war, wollte sie Musikerin werden.","When she was little, she wanted to be a musician."
Mein Vater und sein Freund haben eine Zigarre geraucht.,My father and his friend smoked a cigar.
"Ich verspreche, dass ich sehr diskret sein werde. ",I promise to be very discreet. 
Ich bevorzuge Popmusik.,I prefer pop music.
Er arbeitet als Wachmann im Lagerhaus.,He works as a security guard in the warehouse.
Spinnen haben ein sehr starkes Netz.,Spiders have a very strong web.
Während meines Studiums habe ich als Kellner gearbeitet.,During my studies I worked as a waiter.
Mit dir fühle ich mich wirklich sicher.,With you I feel really safe.
"Was auch immer passiert, gib nicht auf.","Whatever happens, don't give up."
Ich wiege siebzig Kilo.,I weigh seventy kilos.
Ich muss heute Mathe lernen.,I have to study math today.
Ich habe mich heute nach dem Training etwas steif gefühlt.,I felt a little stiff after working out today.
Heute möchte ich keine Beschwerden hören.,Today I don't want to hear any complaints.
"Es braucht Mut, um das zu tun.",It takes courage to do that.
Wir haben uns lediglich verteidigt. Es war Selbstverteidigung.,We were just defending ourselves. It was self-defense.
Wir werden zwei Bäume in unserem Garten pflanzen.,We will plant two trees in our garden.
Er hat ein gutes Herz.,He has a good heart.
"Ich hoffe, ich sehe dich bald wieder!",I hope to see you again soon!
Kannst du pfeifen?,Can you whistle?
Du musst diese Gelegenheit ergreifen.,You must take this opportunity.
Ich möchte mit Ihrem Vorgesetzten sprechen.,I want to talk to your supervisor.
Der Baum hat einen langen Schatten geworfen.,The tree cast a long shadow.
Er war verwirrt und verängstigt.,He was confused and frightened.
Sie haben mit Bogen und Pfeilen gegen Gewehre gekämpft.,They were fighting guns with bows and arrows.
"Der Chirurg hat acht acht Stunden gebraucht, um die Operation durchzuführen.",It took the surgeon eight eight hours to perform the operation.
Du musst aufmerksam zuhören.,You must listen carefully.
Ich habe mein Spiegelbild im Fenster gesehen.,I saw my reflection in the window.
Er ist ein absoluter Trottel.,He is a complete jerk.
Die meisten meiner Reisegefährten waren nett.,Most of my traveling companions were nice.
Sein Alibi schien logisch.,His alibi seemed logical.
"Du weißt, wie verrückt Liebhaber sind.",You know how crazy lovers are.
Rauch kommt aus dem Motor.,Smoke is coming out of the engine.
Er atmet normal und alles ist unter Kontrolle.,He's breathing normally and everything is under control.
Der Gehweg war mit abgefallenem Laub bedeckt.,The sidewalk was covered with fallen leaves.
Eine große Spinne hat ein Netz gewebt.,A large spider has woven a web.
Ein Drittel der Erdoberfläche ist Wüste.,A third of the earth's surface is desert.
Wir möchten in der ersten Reihe sitzen.,We would like to sit in the front row.
Mein Zimmer ist immer aufgeräumt.,My room is always tidy.
Diese Mädchen sind professionelle Tänzerinnen.,These girls are professional dancers.
Häng deine Jacke an den Haken.,Hang your jacket on the hook.
"Ich wusste nicht, dass Bären auf Bäume klettern können.",I didn't know bears could climb trees.
Die Kohle ist zum Grillen bereit!,The coal is ready for grilling!
SIe fühlte ihr gegenüber große Dankbarkeit.,SIe felt great gratitude towards her.
Diese Uhr wurde in der Schweiz hergestellt.,This watch was made in Switzerland.
"Er hat die Ambition, Wissenschaftler zu werden.",He has the ambition to become a scientist.
Dein Puls ist normal.,Your pulse is normal.
"Hast du die weiße Feder gesehen, die ich am Strand gefunden habe?",Did you see the white feather I found on the beach?
Sei nicht dauernd so ungeduldig.,Don't be so impatient all the time.
Ich mache das Abendessen für dich warm. Keine Sorge!,I'll heat up dinner for you. Don't worry!
Was für ein Mist!,What a mess!
Halte mir bitte die Tür auf. Meine Hände sind voll!,"Hold the door for me, please. My hands are full!"
Ich bin erschöpft.,I'm exhausted.
"Echt? Alter, du machst Witze, oder?","Really? Dude, you're kidding, right?"
Was ist deine Inspirationsquelle?,What's your source of inspiration?
Wer hat diesen Unfall verursacht?,Who caused this accident?
"Sie hat mit anderen Männern getanzt, um ihren Mann zu provozieren.",She danced with other men to provoke her husband.
Kannst du mir 500 Yen leihen?,Can you lend me 500 yen?
Er hat sein Land verraten.,He betrayed his country.
Ich habe ein paar Äste mit einer Axt abgehackt.,I chopped off some branches with an axe.
"Ich weiß nicht, wie man einen Schaltwagen fährt.",I don't know how to drive a stick shift car.
Würdest du gerne noch einmal geboren werden?,Would you like to be born again?
Schließ deine Augen und wünsch dir was.,Close your eyes and make a wish.
Ich bin erwachsen. Ich möchte sesshaft werden.,I am grown up. I want to settle down.
"Verzeih mir, ich habe gelogen.","Forgive me, I lied."
Mein Großvater war Bauer.,My grandfather was a farmer.
Von jetzt an ist er von allen Verantwortlichkeiten befreit.,"From now on, he is free of all responsibilities."
Der Tiger sucht nach seiner Beute.,The tiger is looking for its prey.
Er hat sich den Schweiß von der Stirn gewischt.,He has wiped the sweat from his brow.
"Im Gegensatz zu dir bin ich stolz darauf, Europäer zu sein.","Unlike you, I am proud to be European."
Mir war kalt und ich war nass.,I was cold and I was wet.
Realität ist immer seltsamer als Fiktion.,Reality is always stranger than fiction.
"Er hat eine Falle aufgestellt, um das Tier zu fangen.",He set a trap to catch the animal.
Das Auto hat das Pferd Anfang des 20. Jahrhunderts ersetzt.,The car replaced the horse in the early 20th century.
Mir war kalt und ich war nass.,I was cold and I was wet.
Er hatte nicht viel Geld aber er kam zurecht.,He didn't have much money but he got by.
Das Internet ist nach diesen Neuigkeiten explodiert.,The Internet exploded after this news.
"Sie haben gesagt, dass der Sprengstoff in einem Mülleimer versteckt wurde.",They said that the explosives were hidden in a trash can.
"Es ist seltsam zu denken, dass wir während des Krieges Nachrichten per Taube gesendet haben.",It's strange to think that during the war we sent messages by pigeon.
Fass es nicht an! Die Tinte ist noch nicht getrockent!,Don't touch it! The ink is not dry yet!
Diese Taktik funktioniert.,This tactic works.
Der Applaus hat ganze 20 Minuten gedauert. Es war unglaublich.,The applause lasted all of 20 minutes. It was incredible.
Du bist jetzt Teil der Elite.,You are now part of the elite.
Diese zwei produkte haben die gleiche Qualität aber ihr Preis ist sehr unterschiedlich.,These two products have the same quality but their price is very different.
"Bist du extra gekommen, um mich zu sehen?",Did you come especially to see me?
Hast du in letzer Zeit etwas Interessantes gelesen?,Have you read anything interesting lately?
"Wusstest du, dass Wale Säugetiere sind?",Did you know that whales are mammals?
Sei nicht unhöflich.,Don't be rude.
Er ist ein echter Rebell.,He is a real rebel.
"Warum glauben Christen, dass sie an allem schuld sind?",Why do Christians think they are to blame for everything?
"Wir gingen am Fluss entlang, als der Regen begann.",We were walking along the river when the rain started.
Ein Apfel pro Tag hält den Doktor fern!,An apple a day keeps the doctor away!
Ich halte mich immer an die Regeln.,I always follow the rules.
Ich kann den Felsen nicht bewegen. Er ist zu schwer!,I can't move the rock. It's too heavy!
Lies es bitte noch einmal.,"Read it again, please."
Leere deine Taschen!,Empty your pockets!
Lass uns nach dem Abendessen am Strand spazieren gehen.,Let's go for a walk on the beach after dinner.
Er hat einen neuen Weltrekord im Diskuswurf aufgestellt.,He set a new world record in the discus throw.
Sie hat reichlich Erfahrung im Marketing-Bereich.,She has plenty of experience in marketing.
Der Regen hat die Stadt geleert. Alle Straßen wurden gereinigt.,The rain has emptied the city. All the streets have been cleaned.
"Komm schon, lass uns spielen!","Come on, let's play!"
Ich bin satt.,I'm full.
Ich hatte schon immer eine gute Intuition.,I've always had good intuition.
"Du hättest mich um Rat fragen sollen, bevor du handelst.",You should have asked my advice before acting.
Das Fernsehen spielt eine wichtige Rolle im täglichen Leben.,Television plays an important role in daily life.
Ich bin verwirrt. Könntest du es mir nochmal erkären?,I'm confused. Could you explain it to me again?
Du bist so schüchtern wie eine Maus.,You're as shy as a mouse.
"Ich habe ihn angelächelt, aber er hat es nicht bemerkt.","I smiled at him, but he didn't notice."
Was für ein Durcheinander!,What a mess!
Das hat den gegenteiligen Effekt gehabt.,It had the opposite effect.
Es gibt viel pollitsche Korruption in unserem Land.,There is a lot of pollit corruption in our country.
Wie hast du diese Narbe bekommen?,How did you get this scar?
Ich brauche ein Taschentuch.,I need a handkerchief.
Ich habe einen neuen Rasierer gekauft und bin sehr zufrieden damit.,I bought a new razor and I am very happy with it.
Alte Menschen erleben ihre Jugend durch ihre Erinnerungen wieder.,Old people relive their youth through their memories.
Ich habe mich gestern über dich lustig gemacht. Das tut mir leid.,I made fun of you yesterday. I'm sorry about that.
"Ich habe gesehen, wie er den Brief in Stücke zerrissen hat.",I saw him tearing the letter to pieces.
Mein ältester Sohn ist noch nicht verheiratet.,My oldest son isn't married yet.
Das ist echt erbärmlich.,That's really pathetic.
Was steht auf diesem Poster?,What does this poster say?
Was bedeuten alle diese Markierungen?,What do all these marks mean?
Er hat drei Tore geschossen.,He scored three goals.
Der Wert unserer Gesellschaft hat sich verdreifacht.,The value of our company has tripled.
Dieser Schal ist nicht hässlich.,This scarf is not ugly.
Ich auch nicht.,Neither am I.
Wir können den Klimawandel nicht länger leugnen.,We can no longer deny climate change.
Dieses Paket wiegt mehr als ein Kilo. Das kostet mehr.,This package weighs more than a kilo. It costs more.
Was für eine großartige Aussicht!,What a great view!
"Ich brauche eine neue Bürste, um das Geschirr abzuwaschen.",I need a new brush to wash the dishes.
Wir haben uns heute Morgen wieder gestritten.,We had another fight this morning.
"Sie haben mit einer Vorführung gezeigt, wie man ihr neues Smartphone benutzt.",They gave a demonstration on how to use their new smartphone.
Die Glocke hat geläutet. Wir müssen gehen!,The bell rang. We have to go!
Ich möchte deine kostbare Zeit nicht verschwenden.,I don't want to waste your precious time.
"Ich habe mein Bestes gegeben, um den Plan auszuführen.",I have done my best to carry out the plan.
Niemand kann mich aufhalten! Ich bin unbesiegbar.,No one can stop me! I am invincible.
Ich verstehe deine Bedenken total.,I totally understand your concerns.
Sie haben Lenkflugkörper in der Schlacht benutzt.,You used guided missiles in the battle.
Das Eis ist unter meinem Gewicht gebrochen und ich bin in Panik geraten.,The ice broke under my weight and I panicked.
Es gibt hier immer eine Menge Touristen.,There are always a lot of tourists here.
Ich möchte diesen Punkt besonders betonen.,I want to emphasize this point.
Wir haben ein gutes mexikanisches Restaurant gefunden.,We found a good Mexican restaurant.
"Es gibt viele Hypothesen, um dieses Phänomen zu erklären.",There are many hypotheses to explain this phenomenon.
Der Gehweg ist hier rutschig. Sei vorsichtig!,The sidewalk here is slippery. Be careful!
Bist du religiös?,Are you religious?
Ich habe eine Anfrage.,I have a request.
Der Ausschuss trifft sich einmal im Monat.,The committee meets once a month.
In der Küche ist ein Rohr explodiert.,A pipe exploded in the kitchen.
Ich habe meine Jacke in den Flur gehängt.,I hung my jacket in the hallway.
"Ich habe versucht, so hoch wie möglich zu springen.",I tried to jump as high as I could.
"Ich sitze gerne und beobachte, wie die Flugzeuge abheben.",I like to sit and watch the planes take off.
Ich bringe alle meine Ersparnisse zur Bank.,I take all my savings to the bank.
"Ich finde es sehr gut, dass sie sehr feminin ist.",I like that it is very feminine.
Fotografie ist mein Haupthobby.,Photography is my main hobby.
Er ist mit dem Geld davongelaufen.,Running off with the money.
Ich grille Gemüse.,I grill vegetables.
Die Fluggesellschaft hat mein Gepäct versehentlich nach hawaii geschickt.,The airline sent my luggage to hawaii by mistake.
Sie zitterte vor Kälte.,It was shivering from the cold.
Es hat einen Unfall auf der Baustelle gegeben.,There was an accident at the construction site.
Ich habe bedeutende Fortschritte beim Englischlernen gemacht.,I have made significant progress in learning English.
"Ich spreche ein bisschen Polnisch. Genug, um mich verständlich zu machen.",I speak a little Polish. Enough to make myself understood.
Er hat den Brief in den Umschlag gesteckt.,He put the letter in the envelope.
Ich habe den Zaun grau gestrichen.,I painted the fence gray.
Das ist ein heikles Thema. Kannst du ein Gehimnis bewahren?,This is a delicate subject. Can you keep a Gehimnis?
"Ich spürte, dass der Boden bebte.",I felt the ground shake.
"Versuchst du, mich zu verführen?",Are you trying to seduce me?
Halte diese Kiste mit beiden Händen. Sie ist sehr zerbrechlich.,Hold this box with both hands. It is very fragile.
Ich habe meine Knie vor der Pfüfung zittern gespürt.,I felt my knees shaking from the puddle.
"Wir haben viel zu tun, um soziale Barrieren zu überwinden.",We have a lot of work to do to break down social barriers.
Vermassle es nicht.,Don't screw it up.
Könnte ich es mir ausleihen?,Could I borrow it?
Malaga ist ein Paradies auf Erden.,Malaga is a paradise on earth.
Meine Frau hat Zwillinge zur Welt gebracht.,My wife gave birth to twins.
"Ich habe etwas Schlechtes gegessen. Ich glaube, ich muss mich übergeben.",I ate something bad. I think I'm going to throw up.
Ich bin furchtbar schlecht in Mathe.,I'm terrible at math.
Glaubst du an Außerirdische?,Do you believe in aliens?
Der Polizist hat Verstärtkung gerufen.,The policeman called for reinforcements.
Das Essen ist in diesem Restaurant großartig.,The food is great at this restaurant.
Mein Aufrichtiges Beileid!,My sincere condolences!
Speck zu essen ist super ungesund.,Eating bacon is super unhealthy.
Die Sirenen waren die ganze Nacht zu hören.,The sirens could be heard all night.
Er ist eine aggressive Person.,He is an aggressive person.
"In der Schule hatte ich Probleme, mich zu konzentrieren.",I had trouble concentrating at school.
Ich habe mich noch nicht registriert. Wie funktioniert das?,I haven't registered yet. How does that work?
Finger weg von meiner Tasche!,Don't touch my bag!
Sie verschwenden Zeit mit all diesen Meetings. Keiner arbeitet.,You're wasting time with all these meetings. Nobody's working.
"Das ist, was wir von jetzt an machen werden.",This is what we're going to do from now on.
Die Streichhölzer kosten 50 Cent.,The matches cost 50 cents.
Und auf einmal hatte ich eine geniale Idee.,And all of a sudden I had a brilliant idea.
Die Landschaft ist hier unglaublich schön.,The landscape here is incredibly beautiful.
Diese Ruinen sind wirklich alt.,These ruins are really old.
"Ich habe einen Freund, der Helikopter fliegen kann.",I have a friend who can fly helicopters.
Diese Schauspielerin hat einen Hund mit drei Pfoten.,This actress has a dog with three paws.
Mein T-Shirt ist ruiniert! Warum hast du es mit Buntwäsche gewaschen?,My T-shirt is ruined! Why did you wash it with colored laundry?
"Sie haben herausgefunden, dass er ein Spion war.",They found out that he was a spy.
"Ich bin finanziell unabhängig geworden, nachdem ich meinen ersten Job bekommen habe.",I became financially independent after I got my first job.
"Halt die Klappe, du Idiot!","Shut up, you idiot!"
Diese Felder haben in dieser Saison eine gute Ernte erbracht.,These fields have produced a good crop this season.
"Jeder weiß, dass du das was du im Frühling säst, im Herbst erntest.","Everyone knows that what you sow in the spring, you reap in the fall."
Adler haben eine unglaubliche Sicht. Sie können meilenweit sehen.,Eagles have incredible vision. They can see for miles and miles.
"Ein Bienenstich ist nicht gefährlich, wenn man nicht allergisch ist.",A bee sting is not dangerous unless you are allergic.
Ich habe meiner Frau Ohrringe zum Geburtstag geschenkt.,I gave my wife earrings for her birthday.
Ich lag auf dem Sofa und habe ein Buch gelesen.,I was lying on the sofa reading a book.
Der Arzt hat ihm eine Spritze gegeben.,The doctor gave him a shot.
Sprache und Kultur sind direkt miteinander verbunden.,Language and culture are directly linked.
Fast die Hälfte der Opfer der Schießerei waren Teenager.,Almost half of the victims of the shooting were teenagers.
"Mark hat mir gesagt, dass ich dir eine Nachricht weiterleiten soll.",Mark told me to pass on a message to you.
"Dieses Haus wurde aus roten Ziegelsteinen gebaut, typisch für diese Region.","This house was built of red bricks, typical of this region."
Er hat das Feuer mit seinem Mantel gelöscht.,He put out the fire with his coat.
Das Wetter ist hier im Winter ziemlich unangenehm.,The weather here is pretty nasty in the winter.
"Du hörst nie auf, mich zu überraschen.",You never cease to surprise me.
Man sollte nur auf einer soliden Grundlage ein Unternehmen aufbauen.,You should only build a business on a solid foundation.
"Wusstest du, dass Schildkröten auch Reptile sind?",Did you know that turtles are also reptiles?
Das ist verrückt! Du hast einen authentischen Picasso zuhause?,That's crazy! You have an authentic Picasso at home?
Dieser Geigenspieler hat eine unglaubliche Technik.,This violinist has incredible technique.
Ist der Transport gegen alle Risiken versichert?,Is transportation insured against all risks?
"Mein Auto ist groß genug, um sechs Personen zu transportieren.",My car is big enough to transport six people.
Ich musste den Versicherungsvertrag unterschreiben.,I had to sign the insurance contract.
Veränderung sind unvermeidlich. Sie sind ein normaler Teil des Lebens.,Change is inevitable. They are a normal part of life.
Du sprichst perfekt Englisch.,You speak perfect English.
Ich habe alles ruiniert!,I ruined everything!
Die Firma ist bankrott gegangen.,The company went bankrupt.
Der Jounalist hat einen anonymen Tipp bekommen.,The jounalist got an anonymous tip.
Sie ist die Chefredakteurin von diesem Magazin.,She's the editor of this magazine.
Sie hat mich verlassen.,She left me.
"Ich habe Sie angehalten, weil Ihr Nummernschild nicht lesbar ist.",I pulled you over because your license plate was illegible.
Was für eine Energieverschwendung!,What a waste of energy!
Sie ist so nervig. Das kannst du dir nicht vorstellen!,She's so annoying. You can't imagine!
"Es war ein großes Privileg, mit euch allen zu arbeiten.",It's been a great privilege working with all of you.
Wenden verboten!,No turning!
Hast du die Präsidentschaftsdebatte geguckt?,Did you watch the presidential debate?
Weißt du wie Schinken gemacht wird? Das ist ekelhaft!,Do you know how ham is made? It's disgusting!
Unser Haus ist von orangenbäumen umgeben.,Our house is surrounded by orange trees.
Diese Jeans ist ausverkauft. Sie ist so beliebt!,These jeans are sold out. They're so popular!
Parken verboten!,No parking!
"Zieh deinen Schlafanzug an! Es ist Zeit, ins Bett zu gehen.",Put on your pajamas! It's time to go to bed.
Dieses Auto wurde in Frankreich hergestellt.,This car was made in France.
Wir brauchen drei Freiwillige.,We need three volunteers.
Was ist daraus zu schließen?,What can be concluded from this?
Ohne Humor wäre das Leben unerträglich. Denkst du nicht auch?,"Without humor, life would be unbearable. Don't you think so?"
Dieser alte Strohhut gehört meinem Großvater.,This old straw hat belongs to my grandfather.
Ich möchte diese Zahlen mit dir durchgehen. Hast du Zeit?,I'd like to go over these figures with you. Do you have time?
Ich bin auf dem Gehweg ausgerutscht und meine Tasche ist auf den Boden gefallen.,I slipped on the sidewalk and my bag fell on the floor.
"Ich bin müde, muss aber trotzdem meine Hausaufgaben erledigen.","I'm tired, but I still have to do my homework."
"Während seines ganzen Lebens hat er sich Reichtümer angeeignet, war aber dennoch unglücklich.","Throughout his life he has accumulated riches, but he has still been unhappy."
Ich habe heute Abend ein Date.,I have a date tonight.
Dieses kostenlose Ticket ist drei Monate gültig.,This free ticket is valid for three months.
Er hat keine Reue.,He has no regrets.
Lass uns unsere Badeanzüge anziehen und zum Strand gehen.,Let's put on our bathing suits and go to the beach.
Hast du jemals eine Fledermaus gesehen?,Have you ever seen a bat?
Schaukel das Boot nicht. Ich habe Angst.,Don't rock the boat. I'm scared.
Wir werden dieses alte Gebäude in zwei Tagen abreißen.,We'll tear down this old building in two days.
"Es ist einfach! Alles, was nicht nützlich ist, ist unnütz.",It's simple! Anything that isn't useful is useless.
Der Tank ist voll. Lass uns fahren!,The tank is full. Let's go!
Er hat sich den Kopf am Küchenschrank gestoßen.,He hit his head on the kitchen cabinet.
"Vergiss nicht, deine Pillen zu nehmen.",Don't forget to take your pills.
"Während ich gegessen habe, habe ich ein super faszinierendes Buch gelesen.","While I was eating, I was reading a super fascinating book."
Meine Haltung ihm gegenüber hat sich total verändert.,My attitude towards him totally changed.
Er wurde in seinen Dreißigern kahl.,He went bald in his thirties.
Die Wirtschaft der Vereinigten Staaten ist immer noch stabil.,The United States economy is still stable.
Ist der Nagel durch die Wand gegangen?,Did the nail go through the wall?
Sie haben angebissen!,They took the bait!
Wir haben Ameisen in der Küche.,We have ants in the kitchen.
Ihre Güte hat mich wirklich berüht.,Your kindness really touched me.
Ich hatte die Grippe. Ich war die ganze Woche zu Hause.,I had the flu. I've been home all week.
Er ist in guter körperlicher Verfassung. Er trainiert täglich.,He is in good physical shape. He works out every day.
Der Boxer hat einen kräftigen Schlag in den Nacken bekommen.,The boxer took a good punch in the neck.
Ich habe alle notwendigen Qualifikationen für diesen Job.,I have all the necessary qualifications for this job.
Ein Boxer braucht super schnelle Reflexe.,A boxer needs super fast reflexes.
Ich bin komplett ausgeflippt.,I completely freaked out.
Ich habe aus Versehen meinen Kaffee auf meine Hose verschüttet.,I accidentally spilled my coffee on my pants.
Hunderttausende Tiere werden jede Minute getötet. Wofür?,Hundreds of thousands of animals are killed every minute. For what?
Gib niemals auf! Eines Tages wirst du es schaffen!,Never give up! One day you will!
Er ist ein bekannter britischer Schriftsteller.,He is a famous British writer.
Britische Autos haben das Lenkrad auf der rechten Seite. Wie seltsam!,British cars have the steering wheel on the right side. How strange!
Kann jemand Ihre Geschichte bestätigen?,Can anyone confirm your story?
Zweisprachig sein hat viele Vorteile.,Being bilingual has many advantages.
"Wer viel erwartet, bekommt viel. So funktioniert das Leben.","If you expect a lot, you get a lot. That's how life works."
"Ich bin gerade damit fertig geworden, den Dachboden zu putzen. Er war super staubig.",I just finished cleaning the attic. It was super dusty.
"Ich konnte nicht widerstehen, mir ein Stück Kuchen zu nehmen.",I couldn't resist grabbing a piece of cake.
"Schaffst du es, die Frist für das Projekt einzuhalten? Ich muss es im Voraus wissen.",Can you make the deadline for the project? I need to know in advance.
"Alles auf der Erde besteht aus Atomen, auch du und ich.","Everything on earth is made of atoms, including you and me."
Lass das Wasser nicht laufen. Dreh den Hahn zu!,Don't let the water run. Turn off the tap!
Das ist faszinierend! Wie bist du zu dieser Überzeugung gekommen?,This is fascinating! How did you come to this conviction?
Diese Buch ist eine gute Anleitung für Anfänger.,This book is a good guide for beginners.
"Wir haben versucht, ihn zu überreden, aber ohne Erfolg.","We have tried to persuade him, but without success."
"Probiere das und sag mir, was du davon hälst.",Try this and let me know what you think.
Spuck nicht auf den Boden. Das ist so unhölflich!,Don't spit on the floor. It's so rude!
Hast du jemals japanisches Bier probiert?,Have you ever tried Japanese beer?
Halt den Mund!,Shut up!
Wir werden beobachtet. In dem Auto da drüben sind zwei Männer.,We're being watched. There are two men in that car over there.
Versuch mich bitte nicht zu enttäuschen!,Please don't try to disappoint me!
"Um eine Fremdsprache zu erlernen, braucht man ein wenig Geduld.","To learn a foreign language, you need a little patience."
Wir alle haben den Musikern applaudiert.,We all applauded the musicians.
Warum schläst du deine Äpfel? Das ist seltsam!,Why are you banging your apples? That's weird!
Kein Eintritt für Minderjährige.,No admission for minors.
"Ich hab Besseres zu tun, als mir deine Beleidigungen anzuhören.",I have better things to do than listen to your insults.
Wir haben einen großen Balkon mit einer herrlichen Aussicht!,We have a big balcony with a beautiful view!
"Sie hörte mir schweigend zu, ihre Hände gefaltet.","She listened to me in silence, her hands folded."
Ich habe meine Brieftasche im Bus vergessen.,I left my wallet on the bus.
Sie können sich an die Theke setzen und auf Ihren Tisch warten.,You can sit at the counter and wait for your table.
Er hat mich grundlos beleidigt.,He insulted me for no reason.
Ein Schiedsrichter darf keine der beiden Mannschaften bevorzugen. Er muss unparteiisch sein.,A referee must not favor either team. He must be impartial.
Er hat zwei Aspirin-Tabletten genommen und schlälft jetzt.,He took two aspirin tablets and is sleeping now.
Ich bin natürlich offen für Vorschläge.,"I am open to suggestions, of course."
"Ich verstehe diese Besessenheit nicht, die du mit ihm hast.",I don't understand this obsession you have with him.
Er ist stur wie ein Esel.,He is as stubborn as a donkey.
Dieses Gemälde ist dem Original sehr treu.,This painting is very faithful to the original.
Der König wurde auf mysteriöse Weise ermordet gefunden.,The king was found mysteriously murdered.
Wie immer ist das Wetter kault und feucht.,"As always, the weather is kault and humid."
Sie mussten ein Lösegeld von zwei Millionen Euro zahlen.,They had to pay a ransom of two million euros.
Er wäre beinahe ertrunken.,He almost drowned.
Ich möchte eine Beschwerde einreichen.,I would like to file a complaint.
Wie sprichst du dieses Wort aus?,How do you pronounce that word?
Es war eine bittere Pille zu schlucken.,It was a bitter pill to swallow.
Gib mir deinen Lebenslauf mit Qualifikationen und Referenzen.,Give me your resume with qualifications and references.
Mein Sohn hat seine eigene Polizeimarke und zeigt sie jedem.,My son has his own police badge and shows it to everyone.
"Die Terroristen haben die Geiseln befreit, nachdem sie sich mit der Regierung geeingt haben.",The terrorists freed the hostages after making a deal with the government.
"Es scheint, dass dieser Eimer nicht dicht ist.",It seems that this bucket is not tight.
Dieses alte Haus ist gruselig.,This old house is creepy.
Ich schicke dir tausend Küsse.,I send you a thousand kisses.
Er war drei Stunden lang bewusstlos.,He was unconscious for three hours.
Sie hat ihren Mann vergiftet.,She poisoned her husband.
Der Sturm von gestern hat einen Stromausfall verursacht.,Yesterday's storm caused a power outage.
"Du brauchst nicht grausam sein, um stark zu sein.",You don't need to be cruel to be strong.
Du hättest vor dem Wettbewerb realistische Erwartungen haben müssen.,You should have had realistic expectations before the competition.
